Time [Sec],Mass 24,Mass 31,Mass 43,Mass 44,Mass 47,Mass 55,Mass 63,Mass 66,Mass 88,Mass 138,Mass 208,Mass 238,Dist,adj dist
697.757,350835.25,593155.69,13445.9,220850.13,25,27,35,36,13960.73,1012.27,2,2,1368.2,18011.8
698.764,367942.44,606692.63,13307.98,214196.39,24,30,57,52,13230.69,1063.3,5,1,1370.1,18009.9
699.771,353199.94,604154.38,14039.96,224306.09,26,34,50,41,13754.3,989.26,7,3,1372.1,18007.9
700.778,369347.5,589266.94,13469.08,215301.13,19,35,74.01,47,14041.39,939.23,3,0,1374.1,18005.9
701.785,377539.03,608982.88,14186,218703.25,24,45,32,37,13397.82,963.25,3,1,1376.0,18004.0
702.792,367032.09,605699.5,14666.55,226245.86,20,37,23,43,13580.07,1018.27,4,0,1378.0,18002.0
703.799,367121,591501.63,13862.74,215260.91,39,32,45,52,13601.23,1106.32,8,0,1380.0,18000.0
704.805,359248.19,629943.63,14251.46,220994.72,21,36,40,56,13433.05,1017.27,3,2,1382.0,17998.0
705.812,367234,592865.13,13956.38,217348.59,36,22,73.01,47,13045.44,959.24,6,2,1383.9,17996.1
706.819,349892.34,597406.25,13440.86,213352.13,26,45,54,56,12708.24,970.25,8,1,1385.9,17994.1
707.826,362361.81,581011.06,13625.12,213945.81,18,31,23,48,12832.07,804.17,8,1,1387.9,17992.1
708.833,349033.41,582351.69,13274.76,210416.14,24,31,52.01,34,12511.97,864.2,7,0,1389.9,17990.1
709.84,357616.63,587948,13810.36,213309,24,35,36,28,12671,817.18,5,3,1391.8,17988.2
710.847,334411.88,587774.56,12986.91,207319,11,39,20,34,12473.72,791.17,8,0,1393.8,17986.2
711.853,359201.38,599184.5,14017.87,217640.94,38,27,40,38,12919.61,852.19,7,0,1395.8,17984.2
712.86,346645.38,604826.13,13600.95,221182.63,18,27,45,30,13184.38,838.19,4,0,1397.8,17982.2
713.867,362111.63,601184.19,13699.66,215215.5,17,156.07,25,45,13183.37,792.17,2,0,1399.7,17980.3
714.874,368244.59,608551.75,14019.84,218071.47,22,25,29,40,13005.21,808.17,1,0,1401.7,17978.3
715.881,369341.72,581660.13,13742.92,217922.08,25,34,36,40,13500.53,782.16,6,0,1403.7,17976.3
716.888,372429.63,606102,14375.31,219875.56,33,70.01,49,36,13526.7,892.21,2,2,1405.7,17974.3
717.894,359158.5,635455.88,14593.89,226112.56,25,37,40,47,13684.81,836.18,11,0,1407.6,17972.4
718.901,376494.16,621759.25,14366.27,224832.81,17,39,35,52,13489.46,820.18,2,0,1409.6,17970.4
719.908,415822.66,600355.63,13801.3,213456.81,22,42,38,47,13147.13,833.18,3,3,1411.6,17968.4
720.915,369574.72,613433.38,14271.58,218075.19,26,34,29,61,13064.58,838.19,4,1,1413.6,17966.4
721.922,362343.09,610477.81,14037.96,221997.61,27,31,29,54,12718.3,776.16,0,1,1415.5,17964.5
722.929,369636.59,582677.06,13610.01,212987.88,23,33,121.02,48,13042.46,825.18,7,0,1417.5,17962.5
723.936,359478.41,617468.13,14008.74,224179.11,26,21,27,39,12682.1,819.18,6,1,1419.5,17960.5
724.942,374147.91,594165.13,13553.63,218559.73,33,27,36,40,12935.76,798.17,6,3,1421.5,17958.5
725.949,370780.53,599569,13330.16,206887.84,17,43,30,69.01,12450.58,755.15,5,0,1423.4,17956.6
726.956,351530.09,571564.38,13446.96,217164.91,21,28,24,40,12593.51,800.17,4,1,1425.4,17954.6
727.963,375402.81,605383.81,14202.09,225037.5,25,41,30,43,13263.92,713.13,8,1,1427.4,17952.6
728.97,356867.66,621784.88,13728.86,219754.81,30,41,73.01,55,12757.56,773.16,7,1,1429.4,17950.6
729.977,365847.72,588922.81,13352.3,212214.47,27,31,39,54,12840.1,782.16,4,0,1431.3,17948.7
730.984,379088.13,609230.88,13669.42,217011.97,28,50,38,36,12614.65,777.16,7,1,1433.3,17946.7
731.99,371488.13,607630.75,14952.54,227881.03,26,35,34,51,13527.71,838.19,4,0,1435.3,17944.7
732.997,379563.56,640859.13,13999.67,212393.77,23,27,61,38,12995.11,754.15,2,1,1437.2,17942.8
734.004,398131.81,601407.75,13790.22,216493.06,33,28,28,35,12592.51,759.15,7,2,1439.2,17940.8
735.011,380341.16,602889.38,14002.68,223401.41,40,44,87.01,38,12626.7,773.16,8,0,1441.2,17938.8
736.018,389280,603171.31,13960.41,216915.31,23,35,46,77.01,12609.6,809.17,8,1,1443.2,17936.8
737.025,363958.63,648605.94,13908.04,218508.94,18,44,39,42,12090.33,719.14,2,4,1445.1,17934.9
738.032,385950.03,613111.44,13505.3,214196,18,45,33,42,12281.52,743.15,7,2,1447.1,17932.9
739.038,368394,602239.38,13748.95,211889.69,26,43,45,51,12166.81,797.17,5,1,1449.1,17930.9
740.045,394344.13,605212.88,13512.34,213366.08,21,36,32,35,11553.09,696.13,0,1,1451.1,17928.9
741.052,372807.44,603403.81,13982.55,217525.28,16,35,51,40,12210.07,733.15,3,1,1453.0,17927.0
742.059,402408.81,615323.88,13880.93,213842.5,25,36,41,48,11551.07,719.14,14,1,1455.0,17925.0
743.066,375131.13,623062,13150.98,209251.78,27,37,31,31,11381.08,693.13,5,1,1457.0,17923.0
744.073,444042.56,600580.69,13355.31,209254.63,11,36,64.01,51,11421.32,704.13,0,1,1459.0,17921.0
745.079,383956.63,571630.63,12906.4,200315.03,27,39,49,42,11176.95,695.13,7,0,1460.9,17919.1
746.086,405450.06,583006.38,13212.37,207757.23,35,24,24,44,11371.07,670.12,4,2,1462.9,17917.1
747.093,388145.53,599641.19,13540.53,205711.25,20,43,33,32,11105.54,654.11,4,1,1464.9,17915.1
748.1,382703.88,585143.75,13706.68,215712.38,19,32,42,34,11452.5,670.12,8,1,1466.9,17913.1
749.107,420256.84,585555.75,13171.13,201828.72,33,30,49,38,10576.57,601.1,8,0,1468.8,17911.2
750.114,389340,575372.88,13036.21,207200.36,20,48,39,45,10635.9,606.1,8,1,1470.8,17909.2
751.121,377662.38,590048,13721.81,211979.06,10,40,39,62,10523.3,563.08,2,0,1472.8,17907.2
752.127,395268.31,573336.75,12680.94,198042.47,21,27,41,47,10412.71,579.09,7,2,1474.8,17905.2
753.134,393200.34,583138.25,12975.87,204377.25,16,37,39,44,10010.6,558.08,2,2,1476.7,17903.3
754.141,375703.44,572161.88,12504.84,196687.06,12,32,41,46,10067.92,538.08,6,1,1478.7,17901.3
755.148,376706.06,570215.63,13171.1,209318.94,18,39,36,33,10209.67,549.08,8,1,1480.7,17899.3
756.155,365286.38,582587.44,12689.02,209405.95,20,33,34,46,9841.74,539.08,5,0,1482.7,17897.3
757.162,373720.59,588255.75,12704.09,210773.91,21,47,48,37,9588.51,503.07,5,1,1484.6,17895.4
758.169,370051.5,590708.31,13209.37,210661.45,38,25,46,41,9750.29,600.1,5,1,1486.6,17893.4
759.175,404926.94,607786.5,13459.99,213823.2,23,39,35,47,9259.92,588.09,7,1,1488.6,17891.4
760.182,388664.69,614795.94,13712.72,215464.7,25,31,53,32,9584.48,583.09,4,1,1490.6,17889.4
761.189,371122.09,610117.25,13832.52,221209.22,26,34,39,48,9510.13,558.08,9,2,1492.5,17887.5
762.196,359266.34,607313.38,13947.32,215511.66,22,41,28,36,9389.53,545.08,3,3,1494.5,17885.5
763.203,353332.56,589632.13,14144.71,220087.13,24,28,65.01,35,9125.29,590.09,7,3,1496.5,17883.5
764.21,370892.56,592960.63,13776.19,216951.95,25,29,38,70.01,9505.08,630.1,5,2,1498.5,17881.5
765.217,371828.78,603667.13,14069.2,220969.34,29,24,33,41,9229.76,584.09,3,0,1500.4,17879.6
766.223,374662.19,606025.81,14002.72,223190.56,20,38,30,42,9127.3,609.1,6,2,1502.4,17877.6
767.23,344726.13,596146.19,13595.94,217057.55,27,28,46,52,9330.24,661.12,9,2,1504.4,17875.6
768.237,347469.44,608139.75,13807.35,215688.45,15,12,44,39,9275.98,604.1,6,0,1506.3,17873.7
769.244,356419,588672.19,13713.72,221817.09,30,26,42,43,9488.01,594.09,3,1,1508.3,17871.7
770.251,340336.97,598565.5,14000.67,223201.53,26,36,26,45,9592.52,622.1,7,3,1510.3,17869.7
771.258,332086.66,555429.44,12917.45,206400.55,13,25,42,35,9310.16,635.11,5,0,1512.3,17867.7
772.264,338997.56,588399.25,13219.4,217390.11,21,47,45,58.01,9269.97,632.11,11,0,1514.2,17865.8
773.271,352917.5,612929.38,14142.66,226460.34,21,38,38,38,9706.09,616.1,8,0,1516.2,17863.8
774.278,346954.19,595581.25,13891.92,222035.39,23,22,51,56,9786.48,574.09,6,1,1518.2,17861.8
775.285,362284.38,625287.81,14004.71,220471.59,41,27,73.01,42,9206.66,618.1,10,1,1520.2,17859.8
776.292,346987.28,623110,14756.05,234572.47,25,28,24,48,9578.46,529.07,5,1,1522.1,17857.9
777.299,350679.44,615713.63,14193.01,216480.09,22,29,31,57,9322.21,557.08,2,0,1524.1,17855.9
778.306,343860.03,584669.19,14016.81,214127.06,35,26,31,48,9086.09,527.07,2,4,1526.1,17853.9
779.312,349597.06,598649.13,14032.94,226487.03,28,32,40,44,9558.34,514.07,6,2,1528.1,17851.9
780.319,353520.88,603433.38,13624.09,217966.36,24,26,39,62,9122.27,559.08,8,3,1530.0,17850.0
781.326,359097.06,605707.44,13590.88,219888.03,21,26,24,42,8864.14,536.08,4,2,1532.0,17848.0
782.333,361143.5,618349.63,14007.73,223737.06,28,31,36,52,8910.29,564.09,4,0,1534.0,17846.0
783.34,348764.16,602672.56,13653.3,217976.19,27,32,63.01,43,9012.75,622.1,8,0,1536.0,17844.0
784.347,353478.06,578962.13,13439.86,209770.14,18,30,30,36,9169.5,625.1,4,0,1537.9,17842.1
785.354,354283.78,594681.56,13781.22,219929.66,31,29,37,53,9056.96,635.11,2,0,1539.9,17840.1
786.36,353901.69,597106.69,13654.31,216957.88,21,25,44,39,9149.4,597.09,2,0,1541.9,17838.1
787.367,349578,592200.06,13383.59,208290.58,20,26,40,45,8880.15,622.1,3,1,1543.9,17836.1
788.374,333565.28,618314.19,13592.88,213764.08,20,27,25,52,9274.99,660.11,4,1,1545.8,17834.2
789.381,378903.13,589693.56,14052.04,222306,19,25,44,44,9594.55,729.14,6,2,1547.8,17832.2
790.388,371461.31,591074.63,14107.44,226215.44,22,34,36,43,10122.25,644.11,4,0,1549.8,17830.2
791.395,367837.38,637779.25,15144.94,231961.5,24,41,41,44,9960.34,649.11,8,1,1551.8,17828.2
792.402,400748.88,659262.25,14531.44,232742.59,23,31,26,54,9883.97,685.12,5,4,1553.7,17826.3
793.408,382571.13,634556.94,14036.99,225697.34,23,41,59.01,44,9609.61,676.12,8,1,1555.7,17824.3
794.415,365494.03,607941.75,14227.32,212747.5,30,28,27,47,9674.91,664.12,4,2,1557.7,17822.3
795.422,392554.31,644095.25,14534.46,224492.22,30,19,16,49,9244.84,683.12,3,1,1559.7,17820.3
796.429,357735.91,586279.56,13723.8,217535.19,21,38,43,49,9296.11,744.15,6,3,1561.6,17818.4
797.436,417501.81,606137.13,14195.04,220088.02,24,38,51,48,9188.61,701.13,5,0,1563.6,17816.4
798.443,338271.53,622668.94,13692.6,220805.22,19,39,34,58,9254.94,661.12,6,0,1565.6,17814.4
799.449,348159.5,604897.69,14131.61,224823.97,25,48,41,42,9403.59,773.16,13,1,1567.5,17812.5
800.456,350967.56,615143.63,13768.08,218825.78,28,32,17,43,9415.67,728.14,8,2,1569.5,17810.5
801.463,361811.38,609947.56,14370.27,222094.84,20,28,35,85.01,9234.84,842.19,3,0,1571.5,17808.5
802.47,355365.56,618580.13,14331,229618.38,15,25,21,41,9955.32,779.16,6,0,1573.5,17806.5
803.477,393655.13,608425.56,14217.25,221275.88,19,23,39,43,9537.25,793.17,5,1,1575.4,17804.6
804.484,355242.06,607689.13,13935.24,219793.41,44.01,40,35,38,9318.23,761.15,6,0,1577.4,17802.6
805.491,356272.84,603522.06,14353.16,229992.88,31,30,27,52,9922.16,794.17,3,1,1579.4,17800.6
806.497,371421.5,602545.44,14207.12,219172.38,22,41,32,39,9953.31,794.17,5,3,1581.4,17798.6
807.504,376687.06,620279.88,14440.78,226157.16,17,37,33,61,9846.77,770.16,6,0,1583.3,17796.7
808.511,353586.19,596452.19,14100.39,222966.19,23,27,24,45,9868.89,813.17,3,3,1585.3,17794.7
809.518,349788.28,614585.69,14257.47,220854.75,28,27,38,43,9541.28,854.19,7,1,1587.3,17792.7
810.525,354002.13,633207.88,14829.66,228957.8,26,35,32,50,9656.84,823.18,2,1,1589.3,17790.7
811.532,368234.47,610652.13,14015.79,230309.05,22,33,67.01,49,9938.24,812.17,2,3,1591.2,17788.8
812.539,354538.03,621620.25,14269.55,223012.41,21,32,45,50,9894.01,790.17,6,0,1593.2,17786.8
813.545,355876.97,618785.75,14359.23,217070.61,20,39,38,33,9583.47,789.16,6,0,1595.2,17784.8
814.552,370904.22,627917.88,14274.62,228708.67,24,29,32,39,9776.45,723.14,3,0,1597.2,17782.8
815.559,353170.47,626632.88,14005.75,229437.7,19,39,64.01,54,9981.46,801.17,4,2,1599.1,17780.9
816.566,375673.25,678826.94,14619.06,230174.28,21,41,60.01,51,10167.4,768.16,9,2,1601.1,17778.9
817.573,354517.78,617556.19,14574.76,225492.17,27,28,32,49,9926.17,766.16,2,2,1603.1,17776.9
818.58,371596.47,638476.81,14022.84,224331.97,22,35,46,41,9757.34,731.14,3,0,1605.1,17774.9
819.587,347280.69,591371.25,13680.54,211248.41,19,29,38,34,9922.21,693.13,14,1,1607.0,17773.0
820.593,361498.81,636283.88,14025.85,218457.8,17,27,27,33,9821.65,784.16,7,1,1609.0,17771.0
821.6,354756.56,594369.13,14551.58,220657.94,26,39,56,40,9925.19,768.16,6,3,1611.0,17769.0
822.607,353892.94,593938.38,13979.53,213815.66,18,36,37,40,9779.44,839.19,4,0,1613.0,17767.0
823.614,354445.84,630544.13,14043.99,218118.66,28,39,30,36,9818.64,823.18,6,1,1614.9,17765.1
824.621,352315.06,608516.06,14319.92,229720,32,30,37,37,10009.59,758.15,5,1,1616.9,17763.1
825.628,362365.81,617116.25,13635.17,219753.25,17,55.01,37,37,10106.12,883.21,3,3,1618.9,17761.1
826.634,384774.72,624539.75,14810.45,233458.25,22,36,47,45,10569.53,820.18,3,3,1620.9,17759.1
827.641,377657.22,619129.44,14175.89,219404,27,27,39,36,10002.56,761.15,5,1,1622.8,17757.2
828.648,357917.56,619600.13,14186.02,218656.72,23,28,42,55,10051.82,759.15,2,3,1624.8,17755.2
829.655,343709.25,629470.25,13926.19,228778.75,33,27,49,39,10034.72,770.16,3,1,1626.8,17753.2
830.662,346940.63,631060.44,14511.39,224409.42,17,32,38,39,10067.91,764.15,5,1,1628.7,17751.3
831.669,357807.22,620214.44,14268.55,230844.59,40,30,70.01,81.01,10355.42,892.21,2,1,1630.7,17749.3
832.676,387251.25,627560.06,14253.44,222407.47,23,34,34,41,9519.15,821.18,6,1,1632.7,17747.3
833.682,354926.25,636589.25,14419.62,234523.09,50.01,29,59.01,45,10075.94,821.18,4,2,1634.7,17745.3
834.689,410009.56,605779.75,14365.28,221993.06,24,33,27,41,10168.41,892.21,5,0,1636.6,17743.4
835.696,379818.44,620388.44,14703.7,223684.94,26,36,28,45,9716.13,838.19,7,1,1638.6,17741.4
836.703,374932.5,594919.94,13832.51,219458.72,21,33,57,77.01,9506.1,898.21,2,1,1640.6,17739.4
837.71,385714.63,610927.44,13696.6,216181.41,38,39,52,39,9333.27,988.26,9,2,1642.6,17737.4
838.717,387364.25,600929.63,13593.92,214576.23,9,45,41,39,9230.77,919.22,9,1,1644.5,17735.5
839.724,371699.06,631918.38,14276.62,224355.33,22,38,38,43,9357.38,924.23,3,1,1646.5,17733.5
840.73,389147.16,634330.94,14322.94,230616.88,25,37,36,37,9311.16,975.25,5,1,1648.5,17731.5
841.737,405810.56,618187.13,14269.58,219987.3,36,37,30,45,8965.54,907.22,4,0,1650.5,17729.5
842.744,373289.03,640519,13878.85,221412.44,33,38,100.02,51,9083.14,994.26,3,0,1652.4,17727.6
843.751,371670.06,609066.88,13828.51,222307.88,17,42,38,45,9074.04,1016.27,6,1,1654.4,17725.6
844.758,386111.34,610949.25,13465.03,219514.28,37.01,38,33,34,9073.03,1009.27,2,3,1656.4,17723.6
845.765,364768,616463.19,14206.11,222472.81,41.01,25,35,49,9120.32,1011.27,9,0,1658.4,17721.6
846.771,390585.13,609887.19,14403.51,224100.61,27,28,47,48,8883.16,963.25,11,1,1660.3,17719.7
847.778,357438.16,607579.88,14105.4,221469.94,25,30,45,71.01,9305.18,1042.29,7,0,1662.3,17717.7
848.785,354987.22,617092.81,13827.48,218818,25,34,35,28,9116.24,992.26,6,1,1664.3,17715.7
849.792,390579.13,648679.56,14556.65,231074.91,76.02,41,35,46,9302.16,1157.36,3,0,1666.3,17713.7
850.799,368110.78,617691.81,13526.51,215020.78,23,28,32,39,8963.53,1092.31,3,0,1668.2,17711.8
851.806,386350.44,603889,14310.85,218942.89,21,38,32,76.01,8837.97,1125.33,7,3,1670.2,17709.8
852.813,374633.06,619691.5,14157.79,218719.97,20,37,39,45,8668.21,1103.32,1,0,1672.2,17707.8
853.819,376533.91,600624.38,13556.68,222904.89,21,43,53,50,8744.54,1186.38,5,3,1674.2,17705.8
854.826,373480.19,613874.5,14089.29,218724.92,27,45,38,53,8689.32,1081.31,2,1,1676.1,17703.9
855.833,359221,620719.69,14381.35,220646.75,22,32,42,39,8637.08,1127.34,2,0,1678.1,17701.9
856.84,366627.69,617471.69,14525.38,223767.22,27,35,34,45,8817.87,1029.28,2,1,1680.1,17699.9
857.847,366503.56,613408.31,13439.88,220677.09,45.01,33,41,44,8577.8,999.26,5,1,1682.1,17697.9
858.854,383645.06,627612.13,14328.99,227274.84,27,27,51,45,8378.95,1032.28,8,0,1684.0,17696.0
859.861,364940.78,623862.56,14463.96,229647.98,28,62.01,38,39,8493.46,978.25,9,0,1686.0,17694.0
860.867,371290.97,609971.13,14230.3,221638.61,20,37,39,45,8540.64,1010.27,10,1,1688.0,17692.0
861.874,423636.94,639715.56,14954.59,233983.08,33,48,42,43,8752.58,1018.27,12,0,1689.9,17690.1
862.881,392141.69,617513.38,14392.44,223047.61,14,32,45,62,8301.61,968.25,5,2,1691.9,17688.1
863.888,356283.25,619116.13,14236.33,225444.91,35,30,35,33,8487.41,967.25,2,2,1693.9,17686.1
864.895,378357.06,639827.38,14793.33,223486.81,23,43,38,45,8209.23,1010.27,7,2,1695.9,17684.1
865.902,393160.34,623238.56,14669.44,227108.86,16,47,43,41,8201.22,900.22,6,0,1697.8,17682.2
866.909,355966.81,587057.25,13496.23,214985.44,13,33,55,46,8180.1,1015.27,2,1,1699.8,17680.2
867.915,386812.69,625044.13,14167.92,219770.63,23,32,105.03,43,7686.11,785.16,4,1,1701.8,17678.2
868.922,360130.53,581819.44,13516.38,211557.86,16,31,43,47,7672.06,849.19,3,1,1703.8,17676.2
869.929,367607.13,587550.94,13636.18,222164.81,19,39,52,45,8033.52,847.19,3,2,1705.7,17674.3
870.936,379564.41,630239.44,14215.2,223318.22,21,28,45,69.01,7720.24,868.2,2,0,1707.7,17672.3
871.943,357133.28,620483.5,13550.63,219298.08,24,31,48,49,7871.85,826.18,4,1,1709.7,17670.3
872.95,341280.16,615390.38,13946.3,221984.39,23,15,39,46,7669.04,797.17,6,0,1711.7,17668.3
873.956,351125,610323.13,13877.82,223579.67,25,40,39,40,7766.42,859.19,7,3,1713.6,17666.4
874.963,345350.47,624134.63,14385.43,229126.88,42,34,48,47,7955.17,916.22,2,1,1715.6,17664.4
875.97,351477.94,617789.38,14323.96,223540.41,20,50,42,49,7999.36,849.19,5,0,1717.6,17662.4
876.977,374037.44,622589.81,14888.03,231243.66,28,37,37,49,8296.6,925.23,4,0,1719.6,17660.4
877.984,367633.31,643111.63,14555.61,237059.13,30,41,44,60,8274.53,946.24,6,3,1721.5,17658.5
878.991,366812.75,646092.5,15701.29,231785.44,33,41,68.01,60,8190.15,943.23,6,1,1723.5,17656.5
879.998,367355.47,623387.25,15025.07,226905.31,21,36,47,43,8215.26,1048.29,2,2,1725.5,17654.5
881.004,364851.94,646356.69,14425.66,230696.06,27,34,41,53,8076.68,1025.28,3,0,1727.5,17652.5
882.011,374218.31,618226.69,14701.67,226066.41,30,19,35,39,7893.98,1012.27,9,0,1729.4,17650.6
883.018,362643.56,614513.56,14662.37,230964.38,31,23,25,44,7876.87,988.26,3,1,1731.4,17648.6
884.025,362515.41,627660.44,14093.32,220451.97,20,26,48,53,7910,995.26,13,1,1733.4,17646.6
885.032,359949.06,620842.19,14132.62,223152.69,27,31,35,50,7822.66,1086.31,5,0,1735.4,17644.6
886.039,355032.28,609453.13,14269.57,224595.69,31,42,31,45,7782.49,1098.32,2,3,1737.3,17642.7
887.046,358819.06,632663.75,14010.74,226801.44,28,29,44,54,7926.09,1154.35,3,2,1739.3,17640.7
888.052,391621.44,622490.75,14089.33,224453.28,24,24,50,37,7851.77,1093.32,2,0,1741.3,17638.7
889.059,378476,625396,14261.54,229701.27,33,42,109.02,52,8263.46,1223.4,3,1,1743.3,17636.7
890.066,356954.63,643776.38,14231.29,226260.31,29,44,45,48,8053.58,1097.32,8,1,1745.2,17634.8
891.073,371456.5,643314.25,14475.03,221977.33,31,35,84.02,50,8009.41,1139.34,3,1,1747.2,17632.8
892.08,370338.34,623983.38,14205.13,225858.23,20,30,40,49,8093.75,1113.33,3,0,1749.2,17630.8
893.087,356446.41,628436.69,13901.1,224498.94,35,32,60.01,37,8139.94,1141.34,4,0,1751.2,17628.8
894.094,357391.22,638196.38,14980.72,225671,27,36,34,50,8362.87,1141.34,6,1,1753.1,17626.9
895.1,378631.56,611923.25,14566.68,228138.34,26,27,38,52,8587.86,1213.39,5,0,1755.1,17624.9
896.107,385939.88,620825.13,14568.81,226996.7,28,29,37,36,8479.39,1206.39,10,1,1757.1,17622.9
897.114,377445.81,623659.75,14247.43,221255.75,27,38,32,56,8041.53,1204.38,3,3,1759.0,17621.0
898.121,368843.38,603618.56,14054.09,222964,39,32,34,40,7986.3,1102.32,4,2,1761.0,17619.0
899.128,350676.5,588275.94,13516.43,215456.5,33,36,48,51,8082.7,1165.36,8,2,1763.0,17617.0
900.135,353577.31,606428.13,14554.59,225758.97,16,35,40,48,8184.12,1152.35,7,0,1765.0,17615.0
901.141,353949.59,614640.63,14013.95,226172.3,20,48,54,47,8222.29,1112.33,7,6,1766.9,17613.1
902.148,357628.19,619760.44,14312.86,224616.44,20,37,69.01,43,8131.9,1219.39,4,2,1768.9,17611.1
903.155,385408.13,627647.63,14298.76,231418.66,30,36,46,49,8225.29,1086.31,4,2,1770.9,17609.1
904.162,357332.97,656226.44,14350.18,226515.81,31,36,53,40,8056.61,1088.31,9,1,1772.9,17607.1
905.169,358096.72,630069.88,14220.22,233545.83,28,22,70.01,41,8286.56,1227.4,11,2,1774.8,17605.2
906.176,379472,626057.94,14194.03,228846.45,20,36,35,38,8225.34,1177.37,4,3,1776.8,17603.2
907.183,373882.44,644635.19,14626.13,235258.2,28,37,36,44,8270.49,1184.37,10,1,1778.8,17601.2
908.189,450901,653196.75,14846.75,234489.19,27,57,110.02,60,8240.38,1263.43,9,2,1780.8,17599.2
909.196,378133.13,633194.44,14853.78,228295.17,34,42,39,51,7987.3,1307.45,5,3,1782.7,17597.3
910.203,377620.31,625643.06,14707.79,230445.78,24,45,31,42,7828.68,1158.35,6,1,1784.7,17595.3
911.21,389124.69,595640.63,13922.13,219611.19,28,30,48,47,7912,1214.39,4,0,1786.7,17593.3
912.217,359843.75,616636.63,14584.84,225128.22,20,29,38,48,7942.12,1298.45,9,3,1788.7,17591.3
913.224,391239.31,610921.94,14015.79,221584.84,21,41,39,46,7968.24,1238.4,14,2,1790.6,17589.4
914.231,357352.66,610358,14047.01,225975.89,33,36,54,54,8063.62,1314.46,5,1,1792.6,17587.4
915.237,364775.03,597748.25,13668.43,219482.81,22,26,29,33,7852.76,1274.43,7,0,1794.6,17585.4
916.244,366167.75,615970.5,14303.85,224443.72,21,42,60.01,35,7733.29,1251.41,7,2,1796.6,17583.4
917.251,386742.47,622711.75,13748.99,227998.94,28,24,63.01,43,8102.78,1262.42,7,5,1798.5,17581.5
918.258,361453.91,608606.06,13459,214138,21,36,30,35,7768.43,1255.42,6,5,1800.5,17579.5
919.265,375063.5,610726.88,14564.68,227812.59,22,32,59,50,7831.68,1326.47,5,0,1802.5,17577.5
920.272,355637.56,638736.38,14307.84,231848.63,27,33,82.01,43,7937.11,1267.42,4,1,1804.5,17575.5
921.279,376291.25,612680.88,14396.46,235162.44,19,39,43,49,7996.34,1243.41,10,0,1806.4,17573.6
922.285,363674.13,621803.5,14912.21,228548.67,26,40,31,41,7868.83,1381.5,6,0,1808.4,17571.6
923.292,377159.78,646342.5,14767.18,237287.66,220.32,20,42,44,8119.85,1342.48,2,2,1810.4,17569.6
924.299,358554.56,631589.5,14656.35,229790.47,24,41,112.03,63.01,7833.7,1135.34,4,3,1812.4,17567.6
925.306,359065.75,628430.38,14906.21,225690.69,42,30,37,41,7897.96,1095.32,9,2,1814.3,17565.7
926.313,460849.09,643920.38,14760.1,231891.59,15,38,43,34,7816.63,1094.32,3,1,1816.3,17563.7
927.32,358457.75,641832.94,14804.56,238304.17,22,41,41,42,7836.7,1130.34,5,2,1818.3,17561.7
928.326,370245.03,624971,14855.79,230299.91,89.03,47,95.01,48,7580.69,1126.34,4,2,1820.2,17559.8
929.333,381633.94,651614,15270.02,236171.41,24,29,41,47,7698.15,1002.27,2,5,1822.2,17557.8
930.34,366216.16,640644.5,14422.69,231325.47,42,34,35,48,7697.16,1087.31,5,2,1824.2,17555.8
931.347,377149.38,625396.56,14448.84,228570,29,24,52,52,7745.33,1029.28,1,1,1826.2,17553.8
932.354,351546.38,623592.25,14649.28,228338.64,64.02,34,35,31,7792.53,1003.27,7,2,1828.1,17551.9
933.361,335396.47,599615.25,14282.67,226211.81,13,35,43,32,7871.84,924.23,5,2,1830.1,17549.9
934.368,343315.38,598192.06,13962.41,223160.91,29,47,117.02,47,7865.82,1010.27,10,1,1832.1,17547.9
935.374,368256.38,653143.88,14947.49,231514.52,29,32,33,53,7818.63,1035.28,13,0,1834.1,17545.9
936.381,359207.06,627119.06,15000.86,228472.44,20,40,69.01,35,8044.57,950.24,9,2,1836.0,17544.0
937.388,354809.59,624267.5,14672.51,230823.53,22,28,32,38,7804.57,965.25,5,2,1838.0,17542.0
938.395,359983.88,668554.63,14784.26,235242.08,20,27,36,42,8029.48,970.25,5,2,1840.0,17540.0
939.402,384385.06,626928.94,15277.95,232222.31,25,30,47,43,8023.46,836.18,7,3,1842.0,17538.0
940.409,355551.28,636125.13,14955.58,233493.78,26,51,41,42,7992.34,877.2,7,1,1843.9,17536.1
941.416,354773.97,623379.63,14704.69,231821.7,25,37,45,46,7774.46,898.21,4,1,1845.9,17534.1
942.422,376967.22,631157.56,14436.79,224905.06,26,30,44,45,7763.4,863.2,4,2,1847.9,17532.1
943.429,364711.56,613057.94,14369.26,221329.41,28,38,40,48,7843.73,921.22,9,2,1849.9,17530.1
944.436,348288.38,615863.25,14235.33,223835.84,39,51,49,54,7837.7,880.2,13,2,1851.8,17528.2
945.443,376034.5,629499.63,14785.28,229304.72,17,36,51,42,7517.45,792.17,6,2,1853.8,17526.2
946.45,370399.81,623966.31,14814.6,234072.84,30,33,49,36,7866.82,789.16,6,5,1855.8,17524.2
947.457,345419.75,608258.69,13955.4,225185.97,24,32,41,42,7529.51,807.17,2,0,1857.8,17522.2
948.464,353108.44,616346.31,14370.27,219619.44,18,35,39,43,7488.33,715.14,8,0,1859.7,17520.3
949.47,353760.59,634573.69,14417.62,228175.48,23,30,58,33,7609.81,749.15,4,0,1861.7,17518.3
